ID,DATE,DEXUSEU
316,2016-06-17,1.1256
317,2016-06-20,1.1318
318,2016-06-21,1.1262
319,2016-06-22,1.1286
320,2016-06-23,1.1373
321,2016-06-24,1.1126
322,2016-06-27,1.1024
323,2016-06-28,1.1054
324,2016-06-29,1.1117
325,2016-06-30,1.1032
326,2016-07-01,1.1145
327,2016-07-04,.
328,2016-07-05,1.1080
329,2016-07-06,1.1077
330,2016-07-07,1.1065
331,2016-07-08,1.1038
332,2016-07-11,1.1045
333,2016-07-12,1.1074
334,2016-07-13,1.1112
335,2016-07-14,1.1109
336,2016-07-15,1.1059
337,2016-07-18,1.1076
338,2016-07-19,1.1014
339,2016-07-20,1.1007
340,2016-07-21,1.1016
341,2016-07-22,1.0968
342,2016-07-25,1.0980
343,2016-07-26,1.0984
344,2016-07-27,1.0988
345,2016-07-28,1.1094
346,2016-07-29,1.1168
347,2016-08-01,1.1176
348,2016-08-02,1.1225
349,2016-08-03,1.1170
350,2016-08-04,1.1134
351,2016-08-05,1.1080
352,2016-08-08,1.1078
353,2016-08-09,1.1110
354,2016-08-10,1.1171
355,2016-08-11,1.1168
356,2016-08-12,1.1172
357,2016-08-15,1.1199
358,2016-08-16,1.1277
359,2016-08-17,1.1263
360,2016-08-18,1.1334
361,2016-08-19,1.1326
362,2016-08-22,1.1314
363,2016-08-23,1.1308
364,2016-08-24,1.1256
365,2016-08-25,1.1274
366,2016-08-26,1.1237
367,2016-08-29,1.1182
368,2016-08-30,1.1150
369,2016-08-31,1.1146
370,2016-09-01,1.1194
371,2016-09-02,1.1158
372,2016-09-05,.
373,2016-09-06,1.1237
374,2016-09-07,1.1238
375,2016-09-08,1.1256
376,2016-09-09,1.1214
377,2016-09-12,1.1230
378,2016-09-13,1.1242
379,2016-09-14,1.1271
380,2016-09-15,1.1246
381,2016-09-16,1.1160
382,2016-09-19,1.1179
383,2016-09-20,1.1172
384,2016-09-21,1.1165
385,2016-09-22,1.1229
386,2016-09-23,1.1223
387,2016-09-26,1.1270
388,2016-09-27,1.1208
389,2016-09-28,1.1200
390,2016-09-29,1.1244
391,2016-09-30,1.1238
392,2016-10-03,1.1210
393,2016-10-04,1.1212
394,2016-10-05,1.1196
395,2016-10-06,1.1158
396,2016-10-07,1.1156
397,2016-10-10,.
398,2016-10-11,1.1062
399,2016-10-12,1.1014
400,2016-10-13,1.1038
401,2016-10-14,1.0985
402,2016-10-17,1.1000
403,2016-10-18,1.0997
404,2016-10-19,1.0966
405,2016-10-20,1.0934
406,2016-10-21,1.0866
407,2016-10-24,1.0888
408,2016-10-25,1.0890
409,2016-10-26,1.0916
410,2016-10-27,1.0904
411,2016-10-28,1.0934
412,2016-10-31,1.0962
413,2016-11-01,1.1042
414,2016-11-02,1.1119
415,2016-11-03,1.1094
416,2016-11-04,1.1121
417,2016-11-07,1.1038
418,2016-11-08,1.1034
419,2016-11-09,1.0952
420,2016-11-10,1.0882
421,2016-11-11,.
422,2016-11-14,1.0723
423,2016-11-15,1.0726
424,2016-11-16,1.0699
425,2016-11-17,1.0656
426,2016-11-18,1.0600
427,2016-11-21,1.0597
428,2016-11-22,1.0618
429,2016-11-23,1.0560
430,2016-11-24,.
431,2016-11-25,1.0595
432,2016-11-28,1.0576
433,2016-11-29,1.0626
434,2016-11-30,1.0578
435,2016-12-01,1.0634
436,2016-12-02,1.0666
437,2016-12-05,1.0723
438,2016-12-06,1.0717
439,2016-12-07,1.0758
440,2016-12-08,1.0625
441,2016-12-09,1.0541
442,2016-12-12,1.0606
443,2016-12-13,1.0635
444,2016-12-14,1.0656
445,2016-12-15,1.0375
446,2016-12-16,1.0456
447,2016-12-19,1.0444
448,2016-12-20,1.0390
449,2016-12-21,1.0425
450,2016-12-22,1.0452
451,2016-12-23,1.0449
452,2016-12-26,.
453,2016-12-27,1.0458
454,2016-12-28,1.0389
455,2016-12-29,1.0486
456,2016-12-30,1.0552
457,2017-01-02,.
458,2017-01-03,1.0416
459,2017-01-04,1.0476
460,2017-01-05,1.0598
461,2017-01-06,1.0560
462,2017-01-09,1.0576
463,2017-01-10,1.0572
464,2017-01-11,1.0501
465,2017-01-12,1.0666
466,2017-01-13,1.0625
467,2017-01-16,.
468,2017-01-17,1.0695
469,2017-01-18,1.0682
470,2017-01-19,1.0630
471,2017-01-20,.
472,2017-01-23,1.0740
473,2017-01-24,1.0749
474,2017-01-25,1.0743
475,2017-01-26,1.0670
476,2017-01-27,1.0690
477,2017-01-30,1.0681
478,2017-01-31,1.0794
479,2017-02-01,1.0758
480,2017-02-02,1.0802
481,2017-02-03,1.0792
482,2017-02-06,1.0731
483,2017-02-07,1.0690
484,2017-02-08,1.0708
485,2017-02-09,1.0658
486,2017-02-10,1.0650
487,2017-02-13,1.0603
488,2017-02-14,1.0577
489,2017-02-15,1.0597
490,2017-02-16,1.0660
491,2017-02-17,1.0614
492,2017-02-20,.
493,2017-02-21,1.0551
494,2017-02-22,1.0555
495,2017-02-23,1.0586
496,2017-02-24,1.0580
497,2017-02-27,1.0624
498,2017-02-28,1.0618
499,2017-03-01,1.0564
500,2017-03-02,1.0514
501,2017-03-03,1.0552
502,2017-03-06,1.0586
503,2017-03-07,1.0582
504,2017-03-08,1.0547
505,2017-03-09,1.0586
506,2017-03-10,1.0667
507,2017-03-13,1.0670
508,2017-03-14,1.0645
509,2017-03-15,1.0630
510,2017-03-16,1.0738
511,2017-03-17,1.0742
512,2017-03-20,1.0754
513,2017-03-21,1.0810
514,2017-03-22,1.0800
515,2017-03-23,1.0787
516,2017-03-24,1.0806
517,2017-03-27,1.0882
518,2017-03-28,1.0852
519,2017-03-29,1.0756
520,2017-03-30,1.0726
521,2017-03-31,1.0698
522,2017-04-03,1.0655
523,2017-04-04,1.0664
524,2017-04-05,1.0661
525,2017-04-06,1.0651
526,2017-04-07,1.0616
527,2017-04-10,1.0606
528,2017-04-11,1.0614
529,2017-04-12,1.0611
530,2017-04-13,1.0630
531,2017-04-14,1.0625
532,2017-04-17,1.0660
533,2017-04-18,1.0706
534,2017-04-19,1.0707
535,2017-04-20,1.0758
536,2017-04-21,1.0694
537,2017-04-24,1.0846
538,2017-04-25,1.0941
539,2017-04-26,1.0872
540,2017-04-27,1.0864
541,2017-04-28,1.0895
542,2017-05-01,1.0912
543,2017-05-02,1.0910
544,2017-05-03,1.0920
545,2017-05-04,1.0967
546,2017-05-05,1.0996
547,2017-05-08,1.0928
548,2017-05-09,1.0875
549,2017-05-10,1.0873
550,2017-05-11,1.0869
551,2017-05-12,1.0926
552,2017-05-15,1.0979
553,2017-05-16,1.1072
554,2017-05-17,1.1134
555,2017-05-18,1.1130
556,2017-05-19,1.1190
557,2017-05-22,1.1236
558,2017-05-23,1.1198
559,2017-05-24,1.1175
560,2017-05-25,1.1218
561,2017-05-26,1.1170
562,2017-05-29,.
563,2017-05-30,1.1183
564,2017-05-31,1.1236
565,2017-06-01,1.1214
566,2017-06-02,1.1270
567,2017-06-05,1.1250
568,2017-06-06,1.1266
569,2017-06-07,1.1236
570,2017-06-08,1.1217
571,2017-06-09,1.1190
572,2017-06-12,1.1204
573,2017-06-13,1.1194
574,2017-06-14,1.1277
575,2017-06-15,1.1152
576,2017-06-16,1.1194
577,2017-06-19,1.1160
578,2017-06-20,1.1124
579,2017-06-21,1.1143
580,2017-06-22,1.1148
581,2017-06-23,1.1196
582,2017-06-26,1.1196
583,2017-06-27,1.1300
584,2017-06-28,1.1364
585,2017-06-29,1.1420
586,2017-06-30,1.1411
587,2017-07-03,1.1367
588,2017-07-04,.
589,2017-07-05,1.1336
590,2017-07-06,1.1409
591,2017-07-07,1.1396
592,2017-07-10,1.1396
